mass_A
t,x,y,init_angle
0.10000000000000045,5.428804291192635E-4,-0.0018050571110678482,44..8
0.8333333333333335,0.5131304767818929,-0.0035327399434209455,44.8
1.6000000000000005,0.002649554957565692,-0.0026495549575657334,44.8
2.366666666666667,0.5157800317394586,-0.0035327399434209455,44.8
3.1333333333333337,0.006182294900986651,-0.0026495549575657334,44.8
0.0,-0.0020340429597312526,2.0551035247788618E-4,25
0.7666666666666643,0.21876220350407816,-6.776746333773398E-4,25
1.5,-0.0011508579738760405,-0.0015608596192325935,25
2.2333333333333285,0.21611264854651235,-6.776746333773398E-4,25
2.966666666666664,0.0,1.3877787807814457E-17,25
