mass_A1
t,x,y,ω
0.21666666666666787,-0.10422776512375309,0.0029160096826877924,NaN
0.23333333333333575,-0.09171850087318434,4.2764102322312425E-4,84.74350061316649
0.25,-0.07916855419213942,-0.0016890626479949544,92.9401879237199
0.2666666666666679,-0.06611228415269632,-0.003269130026395728,110.03843840741114
0.2833333333333321,-0.052411365878871075,-0.004484180281275618,174.5676457599477
0.30000000000000365,-0.037513510609931244,-0.0057067315942851415,295.12975374213414
0.3166666666666679,-0.024389513343087255,-0.006411131489725053,945.6689456649141
0.3333333333333321,-0.007774402555673299,-0.006563389279609311,3739.561160787339
0.35000000000000364,0.007683387453565227,-0.006590144322386804,3740.325471600204
0.36666666666666786,0.023136007443189555,-0.006264412299997413,941.1147803621471
0.38333333333333575,0.03680349414315398,-0.005993592965835015,250.38600723093913
0.4,0.04807653182990168,-0.005736353583432718,159.55000110636894
0.4166666666666679,0.06351919014145213,-0.004365174882265399,140.69239131451278
0.43333333333333574,0.0771532503041048,-0.0028485703959535424,87.03792365934383
0.45,0.089615843685809,-0.0016112560308001456,63.36584815865872
0.4666666666666679,0.10147217818208909,-3.999990618841487E-6,61.40156618577266
0.4833333333333358,0.11390755294770116,0.002021425516141817,54.243495557342335
0.5,0.12460690645032169,0.003928682275099793,48.779110876066696
0.5166666666666678,0.1364451284848941,0.006297706980072704,44.42835641958453
0.5333333333333321,0.1459222225549358,0.008380101093562353,34.736437424869195
0.5500000000000036,0.15478928886987897,0.010282522975702202,39.36043064942376
0.5666666666666679,0.16665564449653236,0.013405333029195332,37.22243246009936
0.5833333333333321,0.17432999640441316,0.015378451239414503,25.60803666070443
0.6000000000000036,0.1802599140237835,0.017205982867874448,23.649453236214104
0.6166666666666679,0.18675996749898438,0.019067836053655807,19.534583929112074
0.6333333333333357,0.19144364208759634,0.020471493248654493,16.143205238123624
0.65,0.19439691068428921,0.021694134182713154,13.944098406712055
0.6666666666666679,0.19857276211009578,0.02286458728464158,9.636527710573015
0.6833333333333358,0.19976708538025512,0.023428054892203898,8.09983631194398
0.7,0.2020868259655444,0.02423466211572234,6.730048109474558
0.7166666666666679,0.2014851885150718,0.024429662151290388,2.150215552981338
0.7333333333333357,0.20037522898288163,0.024283705337134198,0.7456630208993559
0.75,0.19971778442653143,0.024303285788504603,-4.675254392261519
0.7666666666666678,0.19737116721724768,0.023375092801161457,-6.5405718220158136
0.7833333333333321,0.19379211506929694,0.02283421714723033,-7.475755209900773
0.8000000000000036,0.19023766418469235,0.02169169316797892,-13.54853060545394
0.8166666666666679,0.1849224020952055,0.020312618810862326,-17.481249802219168
0.8333333333333321,0.17724545197307373,0.018386264455025447,-16.636772571933804
0.8500000000000036,0.17130827985637098,0.01714084044136599,-17.939425790263677
0.8666666666666679,0.16359053822722214,0.015245875089206051,-27.879320043756763
0.8833333333333357,0.15177985040816178,0.012704222734371995,-31.922994519859053
0.9,0.141732155381611,0.010557940982325875,-32.32614913042774
0.9166666666666679,0.13225682424929575,0.008569029604287404,-30.98639416077187
0.9333333333333358,0.12275189324485491,0.006921656448764302,-38.43893227980942
0.95,0.11032594833625586,0.004673721420361043,-37.692114808646174
0.9666666666666679,0.10084174826790526,0.0034702583506563967,-32.68362463806653
0.9833333333333357,0.09012987595380395,0.0021024778056286664,-43.18370323456569
1.0,0.07709604324745178,7.151694549240029E-4,-44.710181147344436
1.016666666666668,0.06403932252502564,-1.7216097856131984E-4,-68.168107879905
1.033333333333332,0.04920072471368975,-0.001495302093145634,-75.20527812661692
1.0500000000000036,0.03672097356895143,-0.001706586339191185,-406.52188986333584
1.066666666666668,0.012413051872375958,-0.0033938520765199875,-2676.5761456181426
1.0833333333333321,-1.0507869560960614E-4,-0.0032011446712509883,-4338.44527359163
1.1000000000000036,-0.007831300894999282,-0.00286486314206702,-2486.277778141497
1.1166666666666678,-0.019132456553624055,-0.001756003693101027,-563.6198795303562
1.1333333333333357,-0.032840142225614266,-7.488647563345108E-4,-169.03585830667103
1.15,-0.046622169422550486,3.1778609194044183E-4,-80.55250022426036
1.1666666666666679,-0.060238839551393975,0.0014498770426443208,-57.01754683753114
1.1833333333333358,-0.07270676101475637,0.0029089165815185947,-25.65868268779041
1.2,-0.09353014995363829,0.0036487561713729466,-24.971373803636947
1.216666666666668,-0.10546381825859086,0.0057550957632517274,-43.07636047634358
1.2333333333333358,-0.11733092484611213,0.007525644190672587,-34.561564452523434
1.25,-0.1280758497820343,0.009575109395238535,-34.93501380535444
1.266666666666668,-0.13872786119295782,0.01173329278919133,-33.04688493461771
1.2833333333333357,-0.14822531497212332,0.013951680363878616,-28.13353010433656
1.3000000000000036,-0.15675547895294778,0.015845878758957488,-24.58786608244958
1.316666666666668,-0.16509576418011568,0.017925541932604427,-23.292976639007193
1.3333333333333321,-0.17169227885854088,0.019709586827812653,-15.505191275985005
1.3500000000000036,-0.17885209208241054,0.02105316698731785,-15.342851213316457
1.3666666666666678,-0.18420848081215407,0.022814083189420797,-15.989642044650978
1.3833333333333357,-0.18900190657402233,0.024032467284190284,-11.622631694923063
1.4,-0.1925645044881395,0.025172148316233045,-8.107265555032642
1.4166666666666679,-0.19496944271716776,0.02572629911562485,-3.2795819064605785
1.4333333333333358,-0.1973224440820106,0.02617712637705516,-3.5245154773389475
1.45,-0.19791183945742252,0.026527541771491858,2.0794695290959178
1.466666666666668,-0.19793137024827295,0.02601427766733866,7.264712931883048
1.4833333333333358,-0.19679126718809764,0.02553114879134255,6.362230998354085
1.5,-0.194948391224671,0.024888530112468388,10.371819613565163
1.516666666666668,-0.19190857933969807,0.02372110656858417,13.184058760126774
1.5333333333333357,-0.18894379955453322,0.022650499430416526,13.019438400610332
1.5500000000000036,-0.1836407163200594,0.021288220139298097,22.1515428649353
1.566666666666668,-0.17764600942000053,0.018977310889782717,27.981920476559296
1.5833333333333321,-0.1710935473794557,0.01701608174718927,24.924613140586693
1.6000000000000036,-0.1633089736577527,0.015054177281730752,28.965153044188128
1.6166666666666678,-0.15541983823965083,0.01281650838915882,38.02049950918056
1.6333333333333357,-0.1453776835395299,0.010164307242375381,41.28133266028508
1.65,-0.13578173766196977,0.007919758206488159,46.55794786075276
1.665,-0.12447649988199783,0.005489353918738393,47.07753346389661
1.6833333333333358,-0.11317781246781083,0.0034951942912601064,50.71102301071768
1.7,-0.10178065209907644,0.0013327273441274823,71.3136961642018
1.715,-0.08932701726229436,-7.630213275848785E-4,71.22948707735897
1.7316666666666678,-0.07623376771397183,-0.002003449118526235,82.00828740261105
1.7483333333333357,-0.06312106573943121,-0.0035544466634435112,109.6573261161166
1.7650000000000037,-0.049417767768889065,-0.0044631508180057455,161.03333488143795
1.7816666666666678,-0.03631335942428904,-0.005485908466916323,320.6351329406939
1.7983333333333322,-0.022003626719758196,-0.006246515693979049,955.8492871640951
1.8150000000000037,-0.007766716142525776,-0.006622258627916322,3476.28561024399
1.8316666666666679,0.005879368419012709,-0.006593139599899822,3647.973233405521
1.8483333333333358,0.019605587031449878,-0.0063507490128204,1270.1772977348173
1.865,0.04447088975021396,-0.0046239257561939695,367.54240170542215
1.881666666666668,0.048657483956712655,-0.004854129215377534,69.30933637343568
1.8983333333333356,0.06235114450149182,-0.00395095778981569,113.01339463103565
1.915,0.07540434156016651,-0.0025408573351182184,93.8097999046364
1.931666666666668,0.08782732990062114,-7.645831497073985E-4,76.35935635715167
1.9483333333333357,0.10205546512627617,0.0010961571091332445,61.81256241827471
1.965,0.11329874883910862,0.0030888111899305404,53.27270598261431
1.9816666666666678,0.12396394280168477,0.005176416157346764,47.40544144213371
1.9983333333333357,0.13640948412365994,0.007487541100507644,40.31175388278748
2.0150000000000037,0.14530413113313112,0.009485177870671269,34.096966654737784
2.031666666666668,0.15357249013284247,0.011488921017180354,32.55865831118877
2.048333333333332,0.16306537296247225,0.013750733543939742,29.02100695208951
2.0650000000000035,0.17015896678022846,0.0156227000362964,24.937372137248307
2.081666666666668,0.17546622817205548,0.01736353680065117,25.570811062553137
2.098333333333336,0.1813581681618185,0.01937556428940479,21.798326854409108
2.115,0.18549925428352665,0.02073497504701516,14.777794118223108
2.1316666666666677,0.18906022436383363,0.021843945930084208,11.907206374844277
2.1483333333333356,0.19258283827576284,0.022878595530657964,6.267396575479627
2.165,0.19380712145916978,0.02310880321558828,7.294223040132242
2.181666666666668,0.19377719189922515,0.023854828519967897,7.216813463328967
2.198333333333336,0.19853668920626555,0.024518588435524902,-0.0723582622804058
2.215,0.1961709629288365,0.024141129127557504,-4.26659241259614
