mass_A2
t,x,y
0.016666666666656966,-0.4769958524210077,0.26457411373186523
0.03333333333332848,-0.4629755457371666,0.24383534759201153
0.05,-0.44996287731398066,0.22322909876519825
0.08333333333332849,-0.4112821450462129,0.17749821497399304
0.09999999999998545,-0.3862693981789768,0.15520531606141325
0.14999999999998545,-0.29797632219843406,0.08855798333582432
0.18333333333331392,-0.22624113148791958,0.04813937935315005
0.23333333333331394,-0.09394545961875478,0.010671987337282696
0.26666666666665695,-9.137219538951635E-4,-0.0019100739121298282
0.3,0.09462781756049965,0.004492921953681672
0.3333333333333285,0.18997104506447993,0.02225720528706565
0.366666666666657,0.2765288909538949,0.05502113790273505
0.3999999999999854,0.3534702632791884,0.09614077611040517
0.4333333333333139,0.4199144920882013,0.14181249808668356
0.46666666666665696,0.474914803425302,0.19201977783070245
0.5,0.5176401053409355,0.24011867165217682
0.516666666666657,0.5380725083439889,0.26320481860641515
0.5333333333333284,0.5547343415253861,0.2852780876015508
0.8333333333333285,0.5382873463552714,0.25089675718321175
0.8666666666666569,0.49459874448313934,0.20372811131650043
0.8999999999999855,0.4406278371060087,0.14880348779519426
0.9333333333333139,0.3704956684796791,0.09738501808165811
0.966666666666657,0.28795628242493876,0.05143235409062552
1.0,0.19573431880260572,0.017622491514117655
1.0333333333333286,0.09949389534559794,-0.0029986396870271825
1.0833333333333284,-0.04823589373457904,-0.0036831479111552046
1.1333333333333284,-0.18137918355416754,0.028087074370058085
1.183333333333314,-0.29407354436983474,0.08199666964987856
1.216666666666657,-0.3506768777911205,0.12362646360206991
1.25,-0.40070237152559274,0.1682122614272295
1.2833333333333286,-0.43365288205697056,0.2112019793567489
1.3166666666666569,-0.4589961489415644,0.25243035738194936
1.3499999999999854,-0.4784439340810895,0.2814498299891537
1.466666666666657,-0.5171411923497251,0.32812748773599
