mass_A
t,y,v_{y}
0.5333333333333337,0.012742892515192505,-0.7511946045946188
0.5500000000000005,-0.007478796523332054,-0.34112640570418845
0.566666666666667,0.001372012325052907,0.3866075258790294
0.5833333333333335,0.005408121005968769,-0.12287371370058209
0.6,-0.002723778131633159,-0.8871058246644412
0.6166666666666665,-0.024162073149512298,-0.4194513963154073
0.6333333333333335,-0.016705491342146828,0.3501001044360466
0.6500000000000005,-0.012492069668310513,-0.12193535982791164
0.666666666666667,-0.020770003336410603,-0.6023206039025952
0.6833333333333335,-0.032569423131730224,-0.2601744476963138
0.7,-0.02944248492628765,0.17708575020930198
0.716666666666667,-0.0266665647914201,-0.06706428491807602
0.7333333333333335,-0.03167796109022353,-0.09948691207931659
0.75,-0.029982795194063938,-0.03423580415546569
0.7666666666666665,-0.032819154562072406,-0.08978044830056713
0.7833333333333334,-0.03297547680408286,0.03298648919355142
0.8000000000000005,-0.031719604922287314,0.487817736475065
0.816666666666667,-0.01671488558824724,0.21734249483769244
0.8333333333333335,-0.02447485509436431,-0.3122333764620163
0.85,-0.027122664803647722,0.11399548419794686
0.8666666666666665,-0.020675005621099474,0.8313319624756034
0.8833333333333335,5.884006122059415E-4,0.3404426161302017
0.9000000000000005,-0.0093269184167592,-0.42207463766572284
0.916666666666667,-0.013480753976651494,0.12437333952331833
0.9333333333333335,-0.005181140432648668,0.8214460037900079
0.95,0.013900779483015158,0.40688391110458966
0.966666666666667,0.008381656604171117,-0.2835932774912088
0.9833333333333335,0.004447670233308165,0.09432189905425707
1.0,0.01152571990597967,0.43898751338025427
1.0166666666666666,0.019080587345983224,0.20871681477403986
1.0333333333333334,0.018482947065114386,-0.0690341553357754
1.0500000000000005,0.01677944883479071,0.024645360410840422
1.0666666666666669,0.019304459078809066,-0.14115070662697296
1.0833333333333335,0.012074425280558354,-0.07521598467599955
1.1,0.016797259589609093,0.18939127363609334
1.1166666666666665,0.018387467735094754,-0.0580828831824617
1.1333333333333335,0.014861163483527062,-0.6435502947296283
1.1500000000000004,-0.0030642087558932496,-0.2939959408734106
1.166666666666667,0.005061298787746693,0.34533648199708133
1.1833333333333336,0.008447007310676047,-0.12104586463190081
1.2,0.0010264366333500585,-0.8631243214095564
1.216666666666667,-0.02032380340297596,-0.41021138599600854
1.2333333333333334,-0.012647276233183624,0.35396331022310956
1.25,-0.008525026395539093,-0.12220361806307783
1.266666666666667,-0.01672073016861958,-0.6785242678591358
1.2833333333333334,-0.031142501990843674,-0.3094428980720964
1.3000000000000005,-0.027035493437689462,0.21422192869978568
1.3166666666666669,-0.024001771034184105,-0.06762252021169103
1.3333333333333335,-0.029289577444745807,-0.21294835695508074
1.35,-0.031100049599353474,-0.10824055704860841
1.3666666666666665,-0.032897596013032715,-0.037167980055301454
1.3833333333333335,-0.032338982267863525,0.017868394602195782
1.4000000000000004,-0.03230198285962621,0.37775228019681006
1.416666666666667,-0.01974723959463648,0.17819934138190685
1.4333333333333336,-0.026362004813562656,-0.2774837819156768
1.45,-0.02899669899182561,0.09789466078629051
1.466666666666667,-0.023098849454019632,0.7903627321035519
1.4833333333333334,-0.0026512745883737754,0.3799543529535735
1.5,-0.010433704355567341,-0.35641859045754964
1.516666666666667,-0.014531894270292223,0.1500413516795143
1.5333333333333334,-0.005432325966250151,0.7870172607266316
1.5500000000000005,0.011702014420595597,0.32587660200798635
